================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 13:02:04
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[13:02:04] +   0.0s | RAM: 11.24/27.65 GB ( 40.7%) | VRAM: N/A
[13:02:06] +   1.1s | RAM: 11.24/27.65 GB ( 40.7%) | VRAM: N/A
[13:02:07] +   2.1s | RAM: 11.26/27.65 GB ( 40.7%) | VRAM: N/A
[13:02:08] +   3.1s | RAM: 11.50/27.65 GB ( 41.6%) | VRAM: N/A
[13:02:09] +   4.1s | RAM: 11.44/27.65 GB ( 41.4%) | VRAM: N/A
[13:02:10] +   5.2s | RAM: 11.60/27.65 GB ( 42.0%) | VRAM: N/A
[13:02:11] +   6.2s | RAM: 11.76/27.65 GB ( 42.5%) | VRAM: N/A
[13:02:12] +   7.2s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:02:13] +   8.2s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:02:14] +   9.3s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:02:15] +  10.3s | RAM: 12.00/27.65 GB ( 43.4%) | VRAM: N/A
[13:02:16] +  11.3s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:02:17] +  12.3s | RAM: 11.82/27.65 GB ( 42.7%) | VRAM: N/A
[13:02:18] +  13.4s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:02:19] +  14.4s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
[13:02:20] +  15.4s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
[13:02:21] +  16.4s | RAM: 11.96/27.65 GB ( 43.3%) | VRAM: N/A
[13:02:22] +  17.5s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
[13:02:23] +  18.5s | RAM: 11.74/27.65 GB ( 42.5%) | VRAM: N/A
[13:02:24] +  19.5s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:25] +  20.5s | RAM: 11.71/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:26] +  21.5s | RAM: 11.71/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:27] +  22.5s | RAM: 11.74/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:28] +  23.5s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:29] +  24.5s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:30] +  25.6s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:31] +  26.6s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:32] +  27.6s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:33] +  28.6s | RAM: 11.75/27.65 GB ( 42.5%) | VRAM: N/A
[13:02:34] +  29.6s | RAM: 11.73/27.65 GB ( 42.4%) | VRAM: N/A
[13:02:35] +  30.7s | RAM: 11.74/27.65 GB ( 42.5%) | VRAM: N/A
[13:02:36] +  31.7s | RAM: 11.74/27.65 GB ( 42.5%) | VRAM: N/A
[13:02:37] +  32.7s | RAM: 11.71/27.65 GB ( 42.3%) | VRAM: N/A
[13:02:38] +  33.7s | RAM: 11.59/27.65 GB ( 41.9%) | VRAM: N/A
[13:02:39] +  34.7s | RAM: 11.60/27.65 GB ( 42.0%) | VRAM: N/A
[13:02:40] +  35.7s | RAM: 11.75/27.65 GB ( 42.5%) | VRAM: N/A
[13:02:41] +  36.7s | RAM: 11.57/27.65 GB ( 41.8%) | VRAM: N/A
[13:02:42] +  37.8s | RAM: 11.64/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:43] +  38.8s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:44] +  39.8s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:45] +  40.8s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:46] +  41.8s | RAM: 11.79/27.65 GB ( 42.7%) | VRAM: N/A
[13:02:47] +  42.9s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:48] +  43.9s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:49] +  44.9s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:50] +  45.9s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:51] +  46.9s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:52] +  48.0s | RAM: 11.65/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:53] +  49.0s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:54] +  50.0s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:55] +  51.0s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:56] +  52.0s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:02:57] +  53.0s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:02:59] +  54.1s | RAM: 11.64/27.65 GB ( 42.1%) | VRAM: N/A
[13:03:00] +  55.1s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:03:01] +  56.1s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:03:02] +  57.1s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:03:03] +  58.1s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:03:04] +  59.1s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:03:05] +  60.1s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:03:06] +  61.1s | RAM: 11.63/27.65 GB ( 42.1%) | VRAM: N/A
[13:03:07] +  62.2s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[13:03:08] +  63.2s | RAM: 11.92/27.65 GB ( 43.1%) | VRAM: N/A
[13:03:09] +  64.2s | RAM: 11.89/27.65 GB ( 43.0%) | VRAM: N/A
[13:03:10] +  65.2s | RAM: 11.86/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:11] +  66.3s | RAM: 11.86/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:12] +  67.3s | RAM: 12.02/27.65 GB ( 43.5%) | VRAM: N/A
[13:03:13] +  68.3s | RAM: 11.86/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:14] +  69.4s | RAM: 11.86/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:15] +  70.4s | RAM: 11.86/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:16] +  71.4s | RAM: 11.86/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:17] +  72.4s | RAM: 11.85/27.65 GB ( 42.9%) | VRAM: N/A
[13:03:18] +  73.4s | RAM: 12.01/27.65 GB ( 43.4%) | VRAM: N/A
[13:03:19] +  74.4s | RAM: 11.84/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:20] +  75.5s | RAM: 11.84/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:21] +  76.5s | RAM: 11.84/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:22] +  77.5s | RAM: 11.84/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:23] +  78.5s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:24] +  79.5s | RAM: 11.85/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:25] +  80.5s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:26] +  81.5s | RAM: 11.82/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:27] +  82.6s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:28] +  83.6s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:29] +  84.6s | RAM: 11.81/27.65 GB ( 42.7%) | VRAM: N/A
[13:03:30] +  85.6s | RAM: 11.83/27.65 GB ( 42.8%) | VRAM: N/A
[13:03:31] +  86.6s | RAM: 11.80/27.65 GB ( 42.7%) | VRAM: N/A
