================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 12:47:05
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[12:47:06] +   0.2s | RAM: 11.38/27.65 GB ( 41.2%) | VRAM: N/A
[12:47:07] +   1.3s | RAM: 11.38/27.65 GB ( 41.2%) | VRAM: N/A
[12:47:08] +   2.3s | RAM: 11.38/27.65 GB ( 41.2%) | VRAM: N/A
[12:47:09] +   3.3s | RAM: 11.37/27.65 GB ( 41.1%) | VRAM: N/A
[12:47:10] +   4.3s | RAM: 11.41/27.65 GB ( 41.3%) | VRAM: N/A
[12:47:11] +   5.3s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[12:47:12] +   6.3s | RAM: 11.40/27.65 GB ( 41.3%) | VRAM: N/A
[12:47:13] +   7.3s | RAM: 11.51/27.65 GB ( 41.6%) | VRAM: N/A
[12:47:14] +   8.3s | RAM: 11.62/27.65 GB ( 42.0%) | VRAM: N/A
[12:47:15] +   9.4s | RAM: 11.72/27.65 GB ( 42.4%) | VRAM: N/A
[12:47:16] +  10.4s | RAM: 11.71/27.65 GB ( 42.4%) | VRAM: N/A
[12:47:17] +  11.4s | RAM: 11.87/27.65 GB ( 42.9%) | VRAM: N/A
[12:47:18] +  12.4s | RAM: 11.69/27.65 GB ( 42.3%) | VRAM: N/A
[12:47:19] +  13.5s | RAM: 11.69/27.65 GB ( 42.3%) | VRAM: N/A
[12:47:20] +  14.5s | RAM: 11.60/27.65 GB ( 42.0%) | VRAM: N/A
[12:47:21] +  15.5s | RAM: 11.60/27.65 GB ( 42.0%) | VRAM: N/A
[12:47:22] +  16.5s | RAM: 11.75/27.65 GB ( 42.5%) | VRAM: N/A
[12:47:23] +  17.6s | RAM: 12.04/27.65 GB ( 43.5%) | VRAM: N/A
[12:47:24] +  18.6s | RAM: 12.32/27.65 GB ( 44.6%) | VRAM: N/A
[12:47:25] +  19.6s | RAM: 12.31/27.65 GB ( 44.5%) | VRAM: N/A
[12:47:26] +  20.6s | RAM: 12.30/27.65 GB ( 44.5%) | VRAM: N/A
[12:47:27] +  21.7s | RAM: 12.29/27.65 GB ( 44.4%) | VRAM: N/A
[12:47:28] +  22.7s | RAM: 12.43/27.65 GB ( 45.0%) | VRAM: N/A
[12:47:29] +  23.7s | RAM: 12.43/27.65 GB ( 45.0%) | VRAM: N/A
[12:47:30] +  24.7s | RAM: 12.32/27.65 GB ( 44.5%) | VRAM: N/A
[12:47:31] +  25.8s | RAM: 12.31/27.65 GB ( 44.5%) | VRAM: N/A
[12:47:32] +  26.8s | RAM: 12.37/27.65 GB ( 44.8%) | VRAM: N/A
[12:47:33] +  27.8s | RAM: 12.59/27.65 GB ( 45.6%) | VRAM: N/A
[12:47:34] +  28.8s | RAM: 12.76/27.65 GB ( 46.2%) | VRAM: N/A
[12:47:35] +  29.8s | RAM: 13.08/27.65 GB ( 47.3%) | VRAM: N/A
[12:47:36] +  30.8s | RAM: 13.10/27.65 GB ( 47.4%) | VRAM: N/A
[12:47:37] +  31.8s | RAM: 13.12/27.65 GB ( 47.5%) | VRAM: N/A
[12:47:38] +  32.9s | RAM: 13.20/27.65 GB ( 47.8%) | VRAM: N/A
[12:47:39] +  33.9s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:47:40] +  34.9s | RAM: 13.20/27.65 GB ( 47.7%) | VRAM: N/A
[12:47:41] +  35.9s | RAM: 13.21/27.65 GB ( 47.8%) | VRAM: N/A
[12:47:42] +  36.9s | RAM: 13.38/27.65 GB ( 48.4%) | VRAM: N/A
[12:47:43] +  37.9s | RAM: 13.21/27.65 GB ( 47.8%) | VRAM: N/A
[12:47:44] +  39.0s | RAM: 13.02/27.65 GB ( 47.1%) | VRAM: N/A
[12:47:45] +  40.0s | RAM: 13.02/27.65 GB ( 47.1%) | VRAM: N/A
[12:47:46] +  41.0s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:47:47] +  42.0s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:47:48] +  43.0s | RAM: 13.09/27.65 GB ( 47.3%) | VRAM: N/A
[12:47:49] +  44.1s | RAM: 13.07/27.65 GB ( 47.3%) | VRAM: N/A
[12:47:50] +  45.1s | RAM: 13.04/27.65 GB ( 47.2%) | VRAM: N/A
[12:47:51] +  46.1s | RAM: 13.03/27.65 GB ( 47.1%) | VRAM: N/A
[12:47:52] +  47.1s | RAM: 13.03/27.65 GB ( 47.1%) | VRAM: N/A
[12:47:53] +  48.1s | RAM: 13.03/27.65 GB ( 47.1%) | VRAM: N/A
[12:47:54] +  49.1s | RAM: 13.06/27.65 GB ( 47.3%) | VRAM: N/A
[12:47:55] +  50.2s | RAM: 13.04/27.65 GB ( 47.2%) | VRAM: N/A
[12:47:57] +  51.2s | RAM: 13.04/27.65 GB ( 47.2%) | VRAM: N/A
[12:47:58] +  52.2s | RAM: 13.04/27.65 GB ( 47.2%) | VRAM: N/A
[12:47:59] +  53.2s | RAM: 13.04/27.65 GB ( 47.2%) | VRAM: N/A
[12:48:00] +  54.3s | RAM: 13.33/27.65 GB ( 48.2%) | VRAM: N/A
[12:48:01] +  55.3s | RAM: 13.31/27.65 GB ( 48.1%) | VRAM: N/A
[12:48:02] +  56.3s | RAM: 13.44/27.65 GB ( 48.6%) | VRAM: N/A
